Datetime,Close,High,Low,Open,Volume
2026-06-05 04:00:00+00:00,4468.7998046875,4469.5,4468.7001953125,4468.7001953125,0
2026-06-05 04:01:00+00:00,4469.2001953125,4469.39990234375,4468.7001953125,4469.2001953125,15
2026-06-05 04:02:00+00:00,4470.2998046875,4470.7001953125,4468.0,4468.5,59
2026-06-05 04:03:00+00:00,4469.60009765625,4470.10009765625,4469.0,4470.10009765625,21
2026-06-05 04:04:00+00:00,4468.7001953125,4468.7998046875,4467.2998046875,4468.60009765625,42
2026-06-05 04:05:00+00:00,4469.39990234375,4469.89990234375,4468.60009765625,4468.60009765625,10
2026-06-05 04:06:00+00:00,4469.5,4469.7001953125,4468.89990234375,4469.2998046875,10
2026-06-05 04:07:00+00:00,4468.7998046875,4469.60009765625,4468.7998046875,4469.2001953125,17
2026-06-05 04:08:00+00:00,4466.7998046875,4468.7998046875,4465.89990234375,4468.60009765625,37
2026-06-05 04:09:00+00:00,4467.0,4467.10009765625,4466.60009765625,4466.7001953125,15
2026-06-05 04:10:00+00:00,4466.0,4467.39990234375,4466.0,4466.7998046875,17
2026-06-05 04:11:00+00:00,4466.0,4466.39990234375,4465.60009765625,4466.0,24
2026-06-05 04:12:00+00:00,4465.39990234375,4466.7998046875,4465.2998046875,4466.10009765625,43
2026-06-05 04:13:00+00:00,4465.2998046875,4465.7001953125,4464.60009765625,4465.7001953125,28
2026-06-05 04:14:00+00:00,4467.60009765625,4467.7998046875,4464.7998046875,4464.7998046875,71
2026-06-05 04:15:00+00:00,4467.2998046875,4468.0,4466.7001953125,4467.60009765625,73
2026-06-05 04:16:00+00:00,4468.10009765625,4468.89990234375,4467.10009765625,4467.2001953125,79
2026-06-05 04:17:00+00:00,4469.7998046875,4469.7998046875,4468.10009765625,4468.10009765625,43
2026-06-05 04:18:00+00:00,4466.89990234375,4469.7998046875,4466.89990234375,4469.7998046875,101
2026-06-05 04:19:00+00:00,4465.39990234375,4467.10009765625,4465.0,4466.7001953125,63
2026-06-05 04:20:00+00:00,4466.2001953125,4466.2998046875,4465.2001953125,4465.2001953125,88
2026-06-05 04:21:00+00:00,4467.60009765625,4467.89990234375,4465.89990234375,4466.10009765625,56
2026-06-05 04:22:00+00:00,4466.5,4467.5,4466.39990234375,4467.39990234375,24
2026-06-05 04:23:00+00:00,4466.2001953125,4466.7001953125,4465.7998046875,4466.0,31
2026-06-05 04:24:00+00:00,4465.7998046875,4466.2998046875,4465.2998046875,4466.0,38
2026-06-05 04:25:00+00:00,4468.10009765625,4468.10009765625,4466.10009765625,4466.10009765625,42
2026-06-05 04:26:00+00:00,4469.7001953125,4469.7001953125,4468.39990234375,4468.39990234375,29
2026-06-05 04:27:00+00:00,4468.0,4469.89990234375,4467.7998046875,4469.89990234375,11
2026-06-05 04:28:00+00:00,4467.0,4467.7998046875,4466.60009765625,4467.7998046875,11
2026-06-05 04:29:00+00:00,4465.7998046875,4467.0,4465.7001953125,4466.7998046875,13
2026-06-05 04:30:00+00:00,4464.0,4466.10009765625,4464.0,4466.10009765625,50
2026-06-05 04:31:00+00:00,4464.10009765625,4464.7001953125,4463.7998046875,4463.89990234375,53
2026-06-05 04:32:00+00:00,4465.2001953125,4465.39990234375,4464.2001953125,4464.2001953125,11
2026-06-05 04:33:00+00:00,4466.0,4466.10009765625,4465.2998046875,4465.2998046875,8
2026-06-05 04:34:00+00:00,4465.2001953125,4465.60009765625,4465.0,4465.39990234375,13
2026-06-05 04:35:00+00:00,4466.2998046875,4466.2998046875,4465.2998046875,4465.2998046875,21
2026-06-05 04:36:00+00:00,4465.89990234375,4467.0,4465.89990234375,4466.2001953125,21
2026-06-05 04:37:00+00:00,4466.39990234375,4466.5,4465.7998046875,4465.7998046875,24
2026-06-05 04:38:00+00:00,4466.10009765625,4466.5,4466.0,4466.5,8
2026-06-05 04:39:00+00:00,4468.10009765625,4468.10009765625,4466.39990234375,4466.39990234375,16
2026-06-05 04:40:00+00:00,4468.39990234375,4470.39990234375,4467.7001953125,4467.7001953125,69
2026-06-05 04:41:00+00:00,4468.10009765625,4468.7001953125,4467.89990234375,4468.2001953125,10
2026-06-05 04:42:00+00:00,4466.89990234375,4467.89990234375,4466.5,4467.89990234375,31
2026-06-05 04:43:00+00:00,4466.2001953125,4466.39990234375,4465.5,4466.39990234375,14
2026-06-05 04:44:00+00:00,4467.2998046875,4467.2998046875,4466.5,4466.5,8
2026-06-05 04:45:00+00:00,4467.2998046875,4467.7998046875,4467.10009765625,4467.39990234375,13
2026-06-05 04:46:00+00:00,4466.0,4467.10009765625,4466.0,4467.10009765625,16
2026-06-05 04:47:00+00:00,4467.60009765625,4467.60009765625,4466.2998046875,4466.2998046875,14
2026-06-05 04:48:00+00:00,4467.2998046875,4468.7001953125,4467.2998046875,4467.7998046875,29
2026-06-05 04:49:00+00:00,4467.2001953125,4467.5,4466.7001953125,4467.10009765625,19
2026-06-05 04:50:00+00:00,4468.5,4469.0,4467.10009765625,4467.10009765625,15
2026-06-05 04:51:00+00:00,4468.5,4468.5,4467.89990234375,4468.39990234375,20
2026-06-05 04:52:00+00:00,4468.5,4468.7998046875,4468.0,4468.7001953125,12
2026-06-05 04:53:00+00:00,4469.0,4469.0,4468.2998046875,4468.39990234375,15
2026-06-05 04:54:00+00:00,4469.89990234375,4470.2001953125,4469.2001953125,4469.5,21
2026-06-05 04:55:00+00:00,4471.10009765625,4471.7001953125,4470.2998046875,4470.5,72
2026-06-05 04:56:00+00:00,4471.7001953125,4472.89990234375,4471.10009765625,4471.10009765625,64
2026-06-05 04:57:00+00:00,4472.39990234375,4472.60009765625,4471.5,4471.7998046875,42
2026-06-05 04:58:00+00:00,4471.7001953125,4472.10009765625,4470.89990234375,4472.10009765625,35
2026-06-05 04:59:00+00:00,4471.0,4471.89990234375,4471.0,4471.7001953125,25
2026-06-05 05:00:00+00:00,4470.5,4471.60009765625,4470.5,4471.0,40
2026-06-05 05:01:00+00:00,4472.0,4472.0,4469.2001953125,4470.10009765625,61
