Datetime,Close,High,Low,Open,Volume
2026-04-14 00:00:00+00:00,74315.515625,74504.140625,74285.34375,74442.2265625,140963840
2026-04-14 00:15:00+00:00,74260.6171875,74427.375,74243.484375,74337.9453125,481341440
2026-04-14 00:30:00+00:00,74427.2734375,74427.2734375,74211.7734375,74282.875,215212032
2026-04-14 00:45:00+00:00,74162.0234375,74429.1171875,74162.0234375,74426.1640625,267071488
2026-04-14 01:00:00+00:00,74248.1171875,74279.21875,74074.78125,74145.921875,1525530624
2026-04-14 01:15:00+00:00,74318.3359375,74354.1015625,74260.6796875,74275.375,1209466880
2026-04-14 01:30:00+00:00,74330.3515625,74330.3515625,74258.453125,74297.515625,39960576
2026-04-14 01:45:00+00:00,74378.9921875,74427.2734375,74333.421875,74333.421875,126271488
2026-04-14 02:00:00+00:00,74461.34375,74486.4140625,74400.3125,74404.7109375,310308864
2026-04-14 02:15:00+00:00,74465.40625,74566.109375,74463.4140625,74489.9140625,54759424
2026-04-14 02:30:00+00:00,74434.140625,74463.765625,74317.484375,74427.6640625,40026112
2026-04-14 02:45:00+00:00,74374.3671875,74444.8125,74345.0,74443.0,277155840
2026-04-14 03:00:00+00:00,74412.15625,74427.21875,74328.8203125,74365.78125,20660224
2026-04-14 03:15:00+00:00,74291.6796875,74378.1484375,74291.6796875,74378.1484375,276570112
2026-04-14 03:30:00+00:00,74488.78125,74488.78125,74294.5859375,74294.5859375,19488768
2026-04-14 03:45:00+00:00,74454.3828125,74499.0078125,74443.578125,74499.0078125,1200902144
2026-04-14 04:00:00+00:00,74443.65625,74494.3203125,74408.8203125,74450.8515625,122937344
2026-04-14 04:15:00+00:00,74492.0390625,74512.1640625,74464.6015625,74464.6015625,91975680
2026-04-14 04:30:00+00:00,74418.9609375,74505.2265625,74418.9609375,74505.2265625,28688384
2026-04-14 04:45:00+00:00,74397.703125,74430.09375,74391.2421875,74402.578125,0
2026-04-14 05:00:00+00:00,74376.5078125,74393.7578125,74343.2421875,74393.7578125,62128128
2026-04-14 05:15:00+00:00,74349.9296875,74418.0859375,74346.203125,74364.46875,95350784
2026-04-14 05:30:00+00:00,74319.84375,74382.6953125,74319.7890625,74350.5546875,1058971648
2026-04-14 05:45:00+00:00,74209.84375,74324.8125,74192.1875,74324.8125,22073344
2026-04-14 06:00:00+00:00,74351.1328125,74359.875,74299.1484375,74312.171875,249499648
2026-04-14 06:15:00+00:00,74446.6015625,74456.9296875,74345.6640625,74345.6640625,50376704
2026-04-14 06:30:00+00:00,74439.8359375,74467.5390625,74399.484375,74431.7890625,64299008
2026-04-14 06:45:00+00:00,74565.7734375,74565.7734375,74420.8125,74420.8125,8949760
2026-04-14 07:00:00+00:00,74758.6796875,74930.4296875,74512.671875,74551.2734375,636567552
2026-04-14 07:15:00+00:00,74706.953125,74771.1875,74652.609375,74771.1875,124145664
2026-04-14 07:30:00+00:00,74542.703125,74699.2421875,74531.0,74699.2421875,340983808
2026-04-14 07:45:00+00:00,74547.5546875,74563.71875,74511.1953125,74527.109375,291577856
2026-04-14 08:00:00+00:00,74560.3984375,74606.625,74510.515625,74547.046875,218750976
2026-04-14 08:15:00+00:00,74614.8515625,74614.8515625,74539.6796875,74569.234375,38907904
2026-04-14 08:30:00+00:00,74672.5703125,74901.6875,74672.5703125,74725.0625,323272704
2026-04-14 08:45:00+00:00,74776.1640625,74842.7734375,74662.4921875,74699.8515625,437276672
2026-04-14 09:00:00+00:00,74793.0,74798.1875,74737.8984375,74770.9375,118673408
2026-04-14 09:15:00+00:00,74687.359375,74845.84375,74675.046875,74805.796875,119623680
2026-04-14 09:30:00+00:00,74553.375,74700.296875,74553.375,74670.421875,194887680
2026-04-14 09:45:00+00:00,74538.09375,74548.8046875,74469.1640625,74548.8046875,272449536
2026-04-14 10:00:00+00:00,74540.453125,74561.40625,74498.265625,74506.390625,72683520
2026-04-14 10:15:00+00:00,74603.8125,74608.0078125,74539.6171875,74560.0859375,53796864
2026-04-14 10:30:00+00:00,74416.4609375,74638.0703125,74416.4609375,74615.3359375,107429888
2026-04-14 10:45:00+00:00,74423.4453125,74451.8828125,74363.4921875,74363.4921875,462585856
2026-04-14 11:00:00+00:00,74418.9296875,74432.9765625,74395.28125,74395.28125,137535488
2026-04-14 11:15:00+00:00,74420.328125,74465.9609375,74420.328125,74428.1875,111353856
2026-04-14 11:30:00+00:00,74372.359375,74404.0546875,74340.9765625,74366.78125,288768000
2026-04-14 11:45:00+00:00,74456.0,74456.0,74333.2734375,74348.8828125,875819008
2026-04-14 12:00:00+00:00,74314.9921875,74443.2265625,74314.9921875,74398.828125,81956864
2026-04-14 12:15:00+00:00,74297.015625,74423.171875,74297.015625,74351.5625,130883584
2026-04-14 12:30:00+00:00,74364.265625,74392.9375,74308.0,74308.0,1059180544
2026-04-14 12:45:00+00:00,74457.5859375,74457.5859375,74349.7578125,74349.7578125,49942528
2026-04-14 13:00:00+00:00,74576.9453125,74611.5859375,74455.375,74455.375,91820032
2026-04-14 13:15:00+00:00,74647.9921875,74751.484375,74589.375,74589.375,292986880
2026-04-14 13:30:00+00:00,75212.0546875,75238.25,74561.3125,74561.3125,677724160
2026-04-14 13:45:00+00:00,75490.3984375,75495.4765625,75147.0390625,75237.875,1436327936
2026-04-14 14:00:00+00:00,75606.625,75616.9609375,75409.25,75532.8046875,1043378176
2026-04-14 14:15:00+00:00,75855.0078125,75855.0078125,75567.2265625,75603.7265625,437456896
2026-04-14 14:30:00+00:00,75524.6953125,76009.03125,75326.5546875,75886.4609375,1592029184
2026-04-14 14:45:00+00:00,75180.125,75416.15625,75180.125,75326.640625,259461120
2026-04-14 15:00:00+00:00,74780.546875,75101.015625,74743.2890625,75090.1796875,266141696
2026-04-14 15:15:00+00:00,74896.3125,74945.0625,74771.65625,74775.1484375,402120704
2026-04-14 15:30:00+00:00,75317.671875,75317.671875,74827.9140625,74827.9140625,559140864
2026-04-14 15:45:00+00:00,75367.1640625,75423.8984375,75220.453125,75310.984375,361922560
2026-04-14 16:00:00+00:00,75472.0625,75666.0390625,75390.9609375,75390.9609375,359993344
2026-04-14 16:15:00+00:00,75287.78125,75468.296875,75241.5859375,75447.890625,319717376
2026-04-14 16:30:00+00:00,75283.2109375,75289.8671875,75140.390625,75289.8671875,163033088
2026-04-14 16:45:00+00:00,74566.21875,75264.21875,74566.21875,75264.21875,0
2026-04-14 17:00:00+00:00,74790.5859375,74797.234375,74653.4140625,74653.4140625,96927744
2026-04-14 17:15:00+00:00,74751.7890625,74947.6328125,74751.7890625,74834.1328125,83488768
2026-04-14 17:30:00+00:00,74547.6640625,74666.3359375,74332.015625,74621.28125,405278720
2026-04-14 17:45:00+00:00,74766.5,74776.59375,74575.9765625,74584.59375,2850881536
2026-04-14 18:00:00+00:00,74664.9375,74809.5546875,74664.9375,74806.2109375,0
2026-04-14 18:15:00+00:00,74593.9921875,74755.4921875,74500.1953125,74679.5859375,46465024
2026-04-14 18:30:00+00:00,74307.96875,74580.6015625,74201.6875,74580.6015625,186081280
2026-04-14 18:45:00+00:00,74097.0625,74310.5859375,73946.8515625,74310.5859375,1537679360
2026-04-14 19:00:00+00:00,74337.1796875,74403.9296875,74132.796875,74132.796875,243290112
2026-04-14 19:15:00+00:00,74113.4140625,74384.3125,73960.7578125,74308.5078125,191578112
2026-04-14 19:30:00+00:00,74138.6171875,74284.84375,74094.1484375,74283.2421875,0
2026-04-14 19:45:00+00:00,74265.8984375,74271.0625,74160.9140625,74167.078125,0
2026-04-14 20:00:00+00:00,74408.8828125,74410.0546875,74278.7734375,74329.203125,1074331648
2026-04-14 20:15:00+00:00,74211.2421875,74423.1484375,74150.9453125,74423.1484375,29245440
2026-04-14 20:30:00+00:00,74256.4140625,74303.6484375,74166.6875,74244.078125,0
2026-04-14 20:45:00+00:00,74052.28125,74302.828125,74052.28125,74275.375,59609088
2026-04-14 21:00:00+00:00,74242.609375,74293.171875,74148.7890625,74157.2109375,23560192
2026-04-14 21:15:00+00:00,74170.0703125,74246.0234375,74088.2890625,74242.609375,152477696
2026-04-14 21:30:00+00:00,74049.953125,74194.75,73982.46875,74194.75,5267456
2026-04-14 21:45:00+00:00,74315.2890625,74343.96875,74021.3984375,74055.1484375,162152448
2026-04-14 22:00:00+00:00,74354.15625,74413.2109375,74177.15625,74272.21875,69373952
2026-04-14 22:15:00+00:00,73964.4921875,74334.78125,73964.1015625,74325.84375,0
2026-04-14 22:30:00+00:00,74017.8515625,74126.1328125,73905.1796875,73950.0,158855168
2026-04-14 22:45:00+00:00,74067.359375,74155.9296875,74005.46875,74006.3984375,0
2026-04-14 23:00:00+00:00,74144.03125,74198.2265625,74046.1796875,74067.3203125,0
2026-04-14 23:15:00+00:00,74152.0,74244.0078125,74089.609375,74144.03125,0
2026-04-14 23:30:00+00:00,74174.7890625,74233.7734375,74078.046875,74152.0078125,0
2026-04-14 23:45:00+00:00,74186.5390625,74269.2578125,74081.59375,74180.5703125,73728
2026-04-15 00:00:00+00:00,74576.8125,74721.828125,74153.2734375,74176.09375,2415157248
2026-04-15 00:15:00+00:00,74568.0,74685.703125,74432.0,74584.2578125,65658880
2026-04-15 00:30:00+00:00,74587.453125,74644.453125,74484.0078125,74629.3828125,157708288
2026-04-15 00:45:00+00:00,74601.5,74630.2734375,74464.7265625,74598.390625,236363776
2026-04-15 01:00:00+00:00,74788.25,74788.25,74545.328125,74585.2734375,0
2026-04-15 01:15:00+00:00,74713.8984375,74828.609375,74620.3515625,74828.609375,26046464
2026-04-15 01:30:00+00:00,74672.7734375,74746.53125,74531.28125,74732.9375,51892224
2026-04-15 01:45:00+00:00,74649.0,74784.8515625,74609.1796875,74686.6328125,85614592
2026-04-15 02:00:00+00:00,74577.171875,74725.859375,74563.109375,74645.4609375,56549376
2026-04-15 02:15:00+00:00,74378.203125,74634.4609375,74378.203125,74580.0,186314752
2026-04-15 02:30:00+00:00,74314.2734375,74375.3984375,74218.1484375,74375.3984375,183898112
2026-04-15 02:45:00+00:00,74359.84375,74380.140625,74242.0078125,74315.2109375,181661696
2026-04-15 03:00:00+00:00,74268.640625,74368.4765625,74241.3125,74364.78125,135663616
2026-04-15 03:15:00+00:00,74328.0625,74405.9921875,74214.53125,74243.0,0
2026-04-15 03:30:00+00:00,74272.0,74376.546875,74244.4296875,74338.0078125,25272320
2026-04-15 03:45:00+00:00,74376.75,74401.0,74253.3828125,74270.96875,104189952
2026-04-15 04:00:00+00:00,74400.0703125,74471.1796875,74372.0,74377.8515625,0
2026-04-15 04:15:00+00:00,74342.0703125,74439.109375,74334.8828125,74376.03125,151408640
2026-04-15 04:30:00+00:00,74373.0703125,74406.9921875,74297.53125,74364.890625,6041600
2026-04-15 04:45:00+00:00,74354.171875,74388.7265625,74294.0078125,74366.28125,61362176
2026-04-15 05:00:00+00:00,74235.359375,74463.9921875,74231.9765625,74369.9765625,0
2026-04-15 05:15:00+00:00,74042.4296875,74271.6171875,74032.03125,74238.78125,149106688
2026-04-15 05:30:00+00:00,73977.6171875,74069.109375,73912.578125,74028.4921875,59392000
2026-04-15 05:45:00+00:00,74054.953125,74073.953125,73932.8984375,73982.546875,69840896
2026-04-15 06:00:00+00:00,73978.90625,74081.578125,73962.2109375,74036.921875,0
2026-04-15 06:15:00+00:00,73968.0078125,74056.796875,73945.0078125,74003.703125,115929088
2026-04-15 06:30:00+00:00,74037.2890625,74037.2890625,73938.2265625,73955.203125,130314240
2026-04-15 06:45:00+00:00,73924.0,74056.796875,73902.921875,74039.1015625,0
2026-04-15 07:00:00+00:00,73946.8515625,74048.46875,73864.5078125,73946.921875,0
2026-04-15 07:15:00+00:00,73743.84375,73946.0390625,73650.0078125,73945.0078125,477683712
2026-04-15 07:30:00+00:00,73635.8984375,73751.4609375,73622.0,73743.828125,37367808
2026-04-15 07:45:00+00:00,73771.34375,73813.796875,73545.0,73611.2421875,113729536
2026-04-15 08:00:00+00:00,73876.65625,73883.9296875,73706.0,73776.828125,108097536
2026-04-15 08:15:00+00:00,74024.0078125,74027.3828125,73869.1875,73875.546875,5144576
2026-04-15 08:30:00+00:00,74132.15625,74188.59375,74000.296875,74025.53125,4849664
2026-04-15 08:45:00+00:00,74139.28125,74219.0078125,74062.09375,74132.171875,0
2026-04-15 09:00:00+00:00,74060.03125,74213.4296875,73985.53125,74139.9921875,132976640
2026-04-15 09:15:00+00:00,73980.03125,74112.3984375,73950.59375,74052.0078125,35778560
2026-04-15 09:30:00+00:00,73993.9296875,74038.3828125,73930.25,73983.71875,99184640
2026-04-15 09:45:00+00:00,74033.4609375,74050.078125,73948.8671875,73979.8828125,0
2026-04-15 10:00:00+00:00,74142.0625,74205.4765625,74005.2734375,74019.359375,5283840
2026-04-15 10:15:00+00:00,73934.84375,74148.0,73921.4921875,74143.59375,982347776
2026-04-15 10:30:00+00:00,74080.65625,74080.65625,73822.03125,73925.0,233193472
2026-04-15 10:45:00+00:00,73890.8984375,74261.8828125,73860.34375,74089.8515625,177807360
2026-04-15 11:00:00+00:00,74061.703125,74120.0078125,73895.2890625,73906.546875,0
2026-04-15 11:15:00+00:00,73995.8828125,74066.9921875,73968.6171875,74062.359375,0
2026-04-15 11:30:00+00:00,74087.859375,74100.2109375,73983.796875,73985.53125,979202048
2026-04-15 11:45:00+00:00,74233.3203125,74276.2421875,74068.9609375,74085.390625,45477888
2026-04-15 12:00:00+00:00,74233.359375,74264.03125,74076.0078125,74236.328125,125280256
2026-04-15 12:15:00+00:00,74211.3515625,74286.0,74143.0078125,74242.0390625,123469824
2026-04-15 12:30:00+00:00,74373.640625,74475.671875,74204.03125,74211.0703125,130453504
2026-04-15 12:45:00+00:00,74310.0625,74394.3984375,74309.921875,74373.6484375,218673152
2026-04-15 13:00:00+00:00,74345.6015625,74385.9609375,74210.1484375,74302.453125,0
2026-04-15 13:15:00+00:00,74423.5,74457.078125,74269.5,74339.9921875,920821760
2026-04-15 13:30:00+00:00,73923.9921875,74405.59375,73886.75,74405.59375,0
2026-04-15 13:45:00+00:00,74075.859375,74125.7421875,73836.0625,73893.046875,496635904
2026-04-15 14:00:00+00:00,74087.328125,74102.03125,73855.53125,74082.0234375,0
2026-04-15 14:15:00+00:00,74454.71875,74531.6484375,74166.0,74176.2578125,0
2026-04-15 14:30:00+00:00,73977.2890625,74485.0,73931.7265625,74461.09375,0
2026-04-15 14:45:00+00:00,74149.65625,74272.2890625,73976.6015625,74002.3203125,1610690560
